chr,gene_id,strand,start,end
chr1,ENSG00000221978.11,-,1387777,1387869
chr1,ENSG00000221978.11,-,1387954,1388065
chr1,ENSG00000221978.11,-,1390230,1390371
chr1,ENSG00000221978.11,-,1390459,1390563
chr1,ENSG00000221978.11,-,1390766,1391540
chr1,ENSG00000221978.11,-,1392288,1392784
chr1,ENSG00000221978.11,-,1393444,1393460
chr1,ENSG00000221978.11,-,1395394,1395478
chr1,ENSG00000242485.5,-,1401908,1402085
chr1,ENSG00000242485.5,-,1402182,1402571
chr1,ENSG00000242485.5,-,1405109,1405619
chr1,ENSG00000235098.8,-,1418420,1419544
chr1,ENSG00000205116.3,+,1427785,1427787
chr1,ENSG00000179403.11,+,1436927,1436958
chr1,ENSG00000179403.11,+,1439081,1442882
chr1,ENSG00000215915.9,+,1468528,1470158
chr1,ENSG00000160072.19,+,1495815,1496202
chr1,ENSG00000197785.13,+,1534070,1534687
chr1,ENSG00000205090.8,-,1535174,1535361
chr1,ENSG00000205090.8,-,1539056,1539682
chr1,ENSG00000160075.11,-,1541673,1542068
chr1,ENSG00000160075.11,-,1560848,1564537
chr1,ENSG00000228594.3,-,1598012,1599337
chr1,ENSG00000197530.12,+,1623389,1623410
chr1,ENSG00000197530.12,+,1623431,1623452
chr1,ENSG00000197530.12,+,1623799,1623945
chr1,ENSG00000197530.12,+,1624795,1624901
chr1,ENSG00000197530.12,+,1624991,1625185
chr1,ENSG00000197530.12,+,1625286,1625428
chr1,ENSG00000197530.12,+,1625546,1625653
chr1,ENSG00000197530.12,+,1626451,1626754
chr1,ENSG00000197530.12,+,1626837,1626999
chr1,ENSG00000197530.12,+,1627053,1627207
chr1,ENSG00000197530.12,+,1627296,1627444
chr1,ENSG00000197530.12,+,1627673,1627829
chr1,ENSG00000197530.12,+,1628019,1628179
chr1,ENSG00000197530.12,+,1628273,1628399
chr1,ENSG00000197530.12,+,1628489,1628722
chr1,ENSG00000197530.12,+,1629133,1629311
chr1,ENSG00000197530.12,+,1629385,1629566
chr1,ENSG00000197530.12,+,1629639,1629704
chr1,ENSG00000197530.12,+,1630292,1630610
chr1,ENSG00000189409.12,+,1633475,1634099
chr1,ENSG00000189409.12,+,1634202,1634328
chr1,ENSG00000189409.12,+,1634451,1634474
chr1,ENSG00000189409.12,+,1634544,1634654
chr1,ENSG00000189409.12,+,1635159,1635263
chr1,ENSG00000248333.8,-,1635227,1635856
chr1,ENSG00000248333.8,-,1635937,1636126
chr1,ENSG00000248333.8,-,1636333,1636481
chr1,ENSG00000248333.8,-,1636682,1636798
chr1,ENSG00000248333.8,-,1636897,1637004
chr1,ENSG00000248333.8,-,1637081,1637202
chr1,ENSG00000248333.8,-,1637408,1637513
chr1,ENSG00000248333.8,-,1637762,1637883
chr1,ENSG00000248333.8,-,1638500,1638590
chr1,ENSG00000248333.8,-,1640277,1640452
chr1,ENSG00000248333.8,-,1641048,1641113
chr1,ENSG00000248333.8,-,1641662,1641801
chr1,ENSG00000189339.11,-,1659529,1660105
chr1,ENSG00000189339.11,-,1661478,1665784
chr1,ENSG00000189339.11,-,1676700,1676846
chr1,ENSG00000189409.12,+,1701701,1701810
chr1,ENSG00000008128.22,-,1702730,1702999
chr1,ENSG00000008128.22,-,1703080,1703269
chr1,ENSG00000008128.22,-,1703476,1703624
chr1,ENSG00000008128.22,-,1703824,1703940
chr1,ENSG00000008128.22,-,1704039,1704146
chr1,ENSG00000008128.22,-,1704223,1704344
chr1,ENSG00000008128.22,-,1704550,1704655
chr1,ENSG00000008128.22,-,1704904,1705024
chr1,ENSG00000008128.22,-,1722819,1722831
chr1,ENSG00000215790.6,-,1724838,1725416
chr1,ENSG00000215790.6,-,1732242,1732457
chr1,ENSG00000008130.15,-,1751232,1752906
chr1,ENSG00000008130.15,-,1752975,1753060
chr1,ENSG00000008130.15,-,1753567,1753635
chr1,ENSG00000008130.15,-,1754061,1754208
chr1,ENSG00000008130.15,-,1754284,1754383
chr1,ENSG00000008130.15,-,1754544,1754698
chr1,ENSG00000008130.15,-,1755374,1755476
chr1,ENSG00000008130.15,-,1765407,1765446
chr1,ENSG00000078369.17,-,1785285,1787053
chr1,ENSG00000078369.17,-,1787322,1787333
chr1,ENSG00000078369.17,-,1804549,1804581
chr1,ENSG00000078369.17,-,1806475,1806538
chr1,ENSG00000078369.17,-,1825397,1825499
chr1,ENSG00000078369.17,-,1839190,1839238
chr1,ENSG00000078369.17,-,1839629,1839682
chr1,ENSG00000169885.9,+,1917191,1917294
chr1,ENSG00000178821.12,-,1917590,1918162
chr1,ENSG00000178821.12,-,1918253,1918431
chr1,ENSG00000142609.17,-,1921951,1922289
chr1,ENSG00000142609.17,-,1987962,1988126
chr1,ENSG00000187730.7,+,2030280,2030751
chr1,ENSG00000067606.15,+,2055441,2055507
chr1,ENSG00000067606.15,+,2135262,2135347
chr1,ENSG00000067606.15,+,2144210,2144341
chr1,ENSG00000067606.15,+,2145338,2145511
chr1,ENSG00000067606.15,+,2146027,2146108
chr1,ENSG00000067606.15,+,2148872,2148924
chr1,ENSG00000067606.15,+,2150790,2150936
chr1,ENSG00000067606.15,+,2181859,2181914
chr1,ENSG00000162585.16,-,2184461,2185513
chr1,ENSG00000067606.15,+,2184583,2184698
chr1,ENSG00000067606.15,+,2184922,2185395
chr1,ENSG00000162585.16,-,2186004,2186249
chr1,ENSG00000162585.16,-,2186838,2187206
chr1,ENSG00000162585.16,-,2189548,2189781
chr1,ENSG00000162585.16,-,2191901,2192860
chr1,ENSG00000157933.9,+,2306763,2310119
chr1,ENSG00000116151.13,-,2321253,2321385
chr1,ENSG00000116151.13,-,2355175,2355450
chr1,ENSG00000116151.13,-,2374853,2379061
chr1,ENSG00000116151.13,-,2379109,2379224
chr1,ENSG00000116151.13,-,2388004,2388230
chr1,ENSG00000157916.18,+,2402293,2402342
chr1,ENSG00000157916.18,+,2403035,2405444
chr1,ENSG00000157911.9,-,2403964,2405768
chr1,ENSG00000157911.9,-,2406518,2406619
chr1,ENSG00000157911.9,-,2406720,2406864
chr1,ENSG00000157911.9,-,2408604,2408858
chr1,ENSG00000157911.9,-,2410371,2410451
chr1,ENSG00000157911.9,-,2410630,2410761
chr1,ENSG00000149527.17,+,2503625,2505526
chr1,ENSG00000157881.13,-,2508533,2509060
chr1,ENSG00000157881.13,-,2509793,2509930
chr1,ENSG00000157881.13,-,2510057,2510157
chr1,ENSG00000157881.13,-,2510678,2510736
chr1,ENSG00000157881.13,-,2514433,2514466
chr1,ENSG00000157881.13,-,2515258,2515323
chr1,ENSG00000157881.13,-,2519204,2519324
chr1,ENSG00000157881.13,-,2519801,2519954
chr1,ENSG00000157881.13,-,2520322,2520414
chr1,ENSG00000157881.13,-,2520723,2520906
chr1,ENSG00000157881.13,-,2521101,2521612
chr1,ENSG00000197921.5,-,2528745,2529471
chr1,ENSG00000157873.17,+,2561522,2561718
chr1,ENSG00000157873.17,+,2563271,2563829
chr1,ENSG00000157873.17,+,2565053,2565382
chr1,ENSG00000157870.14,+,2589412,2591468
chr1,ENSG00000142606.15,-,2590639,2591089
chr1,ENSG00000142606.15,-,2591557,2591633
chr1,ENSG00000142606.15,-,2591932,2592027
chr1,ENSG00000142606.15,-,2592655,2592720
chr1,ENSG00000142606.15,-,2592833,2592966
chr1,ENSG00000142606.15,-,2593814,2593876
chr1,ENSG00000215912.11,-,2635976,2641370
chr1,ENSG00000169717.6,+,3022818,3022903
chr1,ENSG00000142611.16,+,3386694,3386918
chr1,ENSG00000142611.16,+,3433687,3438621
chr1,ENSG00000130762.14,+,3480585,3481113
chr1,ENSG00000162591.15,-,3489920,3490530
chr1,ENSG00000162591.15,-,3490562,3490589
chr1,ENSG00000162591.15,-,3492639,3492767
chr1,ENSG00000162591.15,-,3493771,3493899
chr1,ENSG00000162591.15,-,3493996,3494124
chr1,ENSG00000162591.15,-,3494371,3494499
chr1,ENSG00000162591.15,-,3494613,3494741
chr1,ENSG00000162591.15,-,3495890,3495943
chr1,ENSG00000158109.14,+,3628601,3630127
chr1,ENSG00000116213.15,-,3630767,3631400
chr1,ENSG00000078900.14,+,3731553,3731556
chr1,ENSG00000078900.14,+,3732747,3736201
chr1,ENSG00000162592.8,+,3762620,3762712
chr1,ENSG00000162592.8,+,3762967,3763474
chr1,ENSG00000162592.8,+,3763706,3763836
chr1,ENSG00000162592.8,+,3766535,3766612
chr1,ENSG00000162592.8,+,3767233,3767445
chr1,ENSG00000162592.8,+,3769783,3769887
chr1,ENSG00000162592.8,+,3771401,3771645
chr1,ENSG00000235169.7,+,3775299,3775373
chr1,ENSG00000235169.7,+,3775485,3775670
chr1,ENSG00000235169.7,+,3775919,3775982
chr1,ENSG00000130764.9,-,3778558,3781090
chr1,ENSG00000130764.9,-,3781290,3781336
chr1,ENSG00000130764.9,-,3781512,3781601
chr1,ENSG00000130764.9,-,3782661,3782763
chr1,ENSG00000116198.12,-,3812081,3815404
chr1,ENSG00000116198.12,-,3816149,3816262
chr1,ENSG00000116198.12,-,3822776,3823146
chr1,ENSG00000116198.12,-,3843109,3843157
chr1,ENSG00000169598.15,+,3860488,3860490
chr1,ENSG00000169598.15,+,3872472,3872572
chr1,ENSG00000169598.15,+,3873042,3873137
chr1,ENSG00000169598.15,+,3883507,3885429
chr1,ENSG00000198912.10,-,3889125,3889962
chr1,ENSG00000196581.10,+,4774497,4774558
chr1,ENSG00000196581.10,+,4777401,4777794
chr1,ENSG00000196581.10,+,4782545,4792534
chr1,ENSG00000131697.17,-,5862813,5863405
chr1,ENSG00000131697.17,-,5863890,5864033
chr1,ENSG00000131697.17,-,5864338,5864517
chr1,ENSG00000131697.17,-,5865102,5865273
chr1,ENSG00000131697.17,-,5866373,5866458
chr1,ENSG00000131697.17,-,5867030,5867115
chr1,ENSG00000131697.17,-,5867740,5867896
chr1,ENSG00000131697.17,-,5873252,5873335
chr1,ENSG00000131697.17,-,5874471,5874657
chr1,ENSG00000131697.17,-,5874874,5875100
chr1,ENSG00000131697.17,-,5875954,5876078
chr1,ENSG00000131697.17,-,5876386,5876523
chr1,ENSG00000131697.17,-,5877093,5877298
chr1,ENSG00000131697.17,-,5879346,5879507
chr1,ENSG00000131697.17,-,5880114,5880239
chr1,ENSG00000131697.17,-,5886495,5886972
chr1,ENSG00000131697.17,-,5887286,5887466
chr1,ENSG00000131697.17,-,5888460,5888580
chr1,ENSG00000131697.17,-,5890868,5891028
chr1,ENSG00000131697.17,-,5904617,5904804
chr1,ENSG00000131697.17,-,5905292,5905483
chr1,ENSG00000131697.17,-,5905632,5905780
chr1,ENSG00000131697.17,-,5927649,5927787
chr1,ENSG00000069424.14,+,6040517,6040568
chr1,ENSG00000069424.14,+,6072755,6072798
chr1,ENSG00000069424.14,+,6073733,6073770
chr1,ENSG00000069424.14,+,6086047,6086363
chr1,ENSG00000069424.14,+,6097529,6098561
chr1,ENSG00000069424.14,+,6098572,6101193
chr1,ENSG00000116254.17,-,6101793,6105427
chr1,ENSG00000116254.17,-,6106234,6106287
chr1,ENSG00000116254.17,-,6106395,6106509
chr1,ENSG00000116254.17,-,6106616,6106779
chr1,ENSG00000116254.17,-,6109795,6109990
chr1,ENSG00000116254.17,-,6110394,6110526
chr1,ENSG00000116254.17,-,6111775,6111883
chr1,ENSG00000116254.17,-,6112140,6112277
chr1,ENSG00000116254.17,-,6112909,6112998
chr1,ENSG00000116254.17,-,6125534,6125612
chr1,ENSG00000116254.17,-,6125766,6125858
chr1,ENSG00000116254.17,-,6126572,6126666
chr1,ENSG00000116251.9,-,6181269,6181470
chr1,ENSG00000116251.9,-,6185020,6186674
chr1,ENSG00000116251.9,-,6197670,6197756
chr1,ENSG00000116251.9,-,6200489,6200750
chr1,ENSG00000158286.12,+,6219405,6221299
chr1,ENSG00000116237.15,-,6221193,6225262
chr1,ENSG00000173673.7,+,6245505,6245578
chr1,ENSG00000158292.6,-,6247346,6249340
chr1,ENSG00000097021.19,-,6264269,6264695
chr1,ENSG00000097021.19,-,6281102,6281286
chr1,ENSG00000097021.19,-,6282724,6282883
chr1,ENSG00000069812.11,-,6412418,6413195
chr1,ENSG00000069812.11,-,6415232,6419235
chr1,ENSG00000187017.14,+,6448641,6448784
chr1,ENSG00000187017.14,+,6460144,6460944
chr1,ENSG00000215788.9,-,6461151,6461762
chr1,ENSG00000187017.14,+,6461183,6461370
chr1,ENSG00000215788.9,-,6461994,6462174
chr1,ENSG00000215788.9,-,6462629,6462666
chr1,ENSG00000215788.9,-,6462863,6462910
chr1,ENSG00000215788.9,-,6463073,6463127
chr1,ENSG00000171680.20,-,6466092,6467572
chr1,ENSG00000171680.20,-,6467825,6467845
chr1,ENSG00000171680.20,-,6477572,6477658
chr1,ENSG00000162408.10,-,6521347,6525856
chr1,ENSG00000173662.19,+,6575280,6575392
chr1,ENSG00000173662.19,+,6578653,6579426
chr1,ENSG00000173662.19,+,6579582,6579757
chr1,ENSG00000204859.11,+,6588060,6589280
chr1,ENSG00000162413.16,-,6590724,6595367
chr1,ENSG00000162413.16,-,6599373,6599452
chr1,ENSG00000116273.5,+,6621635,6624033
chr1,ENSG00000041988.15,+,6630317,6630353
chr1,ENSG00000041988.15,+,6632391,6632495
chr1,ENSG00000041988.15,+,6632760,6633565
chr1,ENSG00000041988.15,+,6634086,6635586
chr1,ENSG00000007923.15,-,6634168,6635677
chr1,ENSG00000171735.18,+,6871757,6872038
chr1,ENSG00000171735.18,+,6886255,6886346
chr1,ENSG00000171735.18,+,6887654,6888188
chr1,ENSG00000171735.18,+,7766489,7769706
chr1,ENSG00000049245.12,+,7777160,7777171
chr1,ENSG00000049245.12,+,7779643,7781432
chr1,ENSG00000049246.14,+,7803850,7803958
chr1,ENSG00000049246.14,+,7842753,7845177
chr1,ENSG00000049247.13,-,7843083,7843945
chr1,ENSG00000049247.13,-,7847614,7847768
chr1,ENSG00000049249.8,-,7915894,7920837
chr1,ENSG00000049249.8,-,7921800,7921983
chr1,ENSG00000049249.8,-,7933127,7933296
chr1,ENSG00000049249.8,-,7935013,7935143
chr1,ENSG00000116288.12,+,7985052,7985505
chr1,ENSG00000116285.12,-,8004404,8004524
chr1,ENSG00000116285.12,-,8011719,8013212
chr1,ENSG00000116285.12,-,8013427,8015272
chr1,ENSG00000116285.12,-,8015308,8015369
chr1,ENSG00000116285.12,-,8015620,8015692
chr1,ENSG00000162426.14,+,8344011,8344167
chr1,ENSG00000142599.17,-,8352397,8355089
chr1,ENSG00000142599.17,-,8364134,8364255
chr1,ENSG00000142599.17,-,8364746,8364838
chr1,ENSG00000142599.17,-,8365812,8365974
chr1,ENSG00000142599.17,-,8656298,8656441
chr1,ENSG00000074800.13,-,8861002,8861362
chr1,ENSG00000074800.13,-,8874909,8874917
chr1,ENSG00000131686.14,+,8951701,8952651
chr1,ENSG00000131686.14,+,8974442,8974444
chr1,ENSG00000131686.14,+,8974702,8975092
chr1,ENSG00000197241.3,-,9003300,9003302
chr1,ENSG00000142583.17,-,9035107,9037588
chr1,ENSG00000142583.17,-,9040080,9041623
chr1,ENSG00000180758.11,-,9100305,9104421
chr1,ENSG00000049239.12,+,9264867,9271337
chr1,ENSG00000171621.13,+,9355743,9355891
chr1,ENSG00000171621.13,+,9367573,9369532
chr1,ENSG00000171612.6,+,9582499,9585179
chr1,ENSG00000188807.12,+,9602289,9604954
chr1,ENSG00000188807.12,+,9611756,9611890
chr1,ENSG00000188807.12,+,9612986,9614873
chr1,ENSG00000171608.15,+,9691467,9691571
chr1,ENSG00000171608.15,+,9710424,9710455
chr1,ENSG00000171608.15,+,9727044,9729114
chr1,ENSG00000171603.16,-,9729026,9730510
chr1,ENSG00000280113.1,-,9827610,9827853
chr1,ENSG00000178585.14,-,9848276,9850720
chr1,ENSG00000178585.14,-,9872065,9872088
chr1,ENSG00000178585.14,-,9877905,9877989
chr1,ENSG00000162441.11,-,9922113,9922257
chr1,ENSG00000162441.11,-,9928939,9930401
chr1,ENSG00000162441.11,-,9936620,9936627
chr1,ENSG00000173614.13,+,9972018,9972073
chr1,ENSG00000173614.13,+,9981297,9981766
chr1,ENSG00000173614.13,+,9982699,9985501
chr1,ENSG00000162444.11,+,10007570,10007748
chr1,ENSG00000162444.11,+,10008173,10008274
chr1,ENSG00000162444.11,+,10015782,10016020
chr1,ENSG00000130939.18,+,10072543,10073118
chr1,ENSG00000130939.18,+,10166262,10166342
chr1,ENSG00000130939.18,+,10168136,10168270
chr1,ENSG00000130939.18,+,10171138,10171189
chr1,ENSG00000130939.18,+,10179954,10181239
chr1,ENSG00000054523.17,+,10304645,10308597
chr1,ENSG00000054523.17,+,10376585,10381603
chr1,ENSG00000142657.20,+,10403071,10403136
chr1,ENSG00000142657.20,+,10404161,10404276
chr1,ENSG00000142657.20,+,10419747,10420144
chr1,ENSG00000175279.21,+,10440347,10440413
chr1,ENSG00000175279.21,+,10442265,10442809
chr1,ENSG00000251503.8,+,10442403,10442441
chr1,ENSG00000251503.8,+,10451377,10452153
chr1,ENSG00000241563.3,+,10451593,10451902
chr1,ENSG00000160049.11,-,10456522,10461492
chr1,ENSG00000160049.11,-,10461643,10461702
chr1,ENSG00000160049.11,-,10462468,10463173
chr1,ENSG00000142655.12,+,10623130,10623286
chr1,ENSG00000142655.12,+,10629985,10630758
chr1,ENSG00000130940.14,-,10636604,10638944
chr1,ENSG00000130940.14,-,10647213,10647799
chr1,ENSG00000130940.14,-,10693890,10693912
chr1,ENSG00000130940.14,-,10705492,10705544
chr1,ENSG00000175262.14,-,10946473,10946741
chr1,ENSG00000175262.14,-,10947643,10947665
chr1,ENSG00000120948.15,+,11018733,11018873
chr1,ENSG00000120948.15,+,11020429,11020599
chr1,ENSG00000120948.15,+,11022124,11026420
chr1,ENSG00000277726.4,+,11024064,11024335
chr1,ENSG00000009724.16,-,11026523,11026887
chr1,ENSG00000277726.4,+,11029687,11029781
chr1,ENSG00000277726.4,+,11030179,11030528
chr1,ENSG00000009724.16,-,11044798,11044942
chr1,ENSG00000116649.9,-,11054589,11054877
chr1,ENSG00000116649.9,-,11056011,11056094
chr1,ENSG00000116649.9,-,11056604,11056757
chr1,ENSG00000171824.13,-,11066618,11066720
chr1,ENSG00000171824.13,-,11091503,11091597
chr1,ENSG00000171824.13,-,11095416,11095547
chr1,ENSG00000198793.12,-,11106535,11107487
chr1,ENSG00000171819.4,+,11195021,11195981
chr1,ENSG00000120942.13,+,11286129,11288434
chr1,ENSG00000120942.13,+,11292142,11292147
chr1,ENSG00000120942.13,+,11293467,11293626
chr1,ENSG00000120942.13,+,11294873,11296049
chr1,ENSG00000204624.7,+,11536653,11537584
chr1,ENSG00000116661.9,-,11648367,11648696
chr1,ENSG00000132879.13,+,11661271,11663327
chr1,ENSG00000116663.10,+,11673849,11674354
chr1,ENSG00000116670.14,-,11674480,11674777
chr1,ENSG00000116670.14,-,11680602,11680613
chr1,ENSG00000116670.14,-,11681039,11681438
chr1,ENSG00000116670.14,-,11681738,11682016
chr1,ENSG00000162490.6,+,11719694,11725857
chr1,ENSG00000177674.15,+,11746115,11746223
chr1,ENSG00000177674.15,+,11747440,11747545
chr1,ENSG00000177674.15,+,11748415,11748610
chr1,ENSG00000177674.15,+,11750077,11750771
chr1,ENSG00000177000.10,-,11785723,11790682
chr1,ENSG00000215910.7,+,11789444,11789585
chr1,ENSG00000177000.10,-,11803117,11803129
chr1,ENSG00000177000.10,-,11803186,11804532
chr1,ENSG00000011021.21,+,11820382,11820779
chr1,ENSG00000011021.21,+,11838991,11839050
chr1,ENSG00000011021.21,+,11840221,11843144
chr1,ENSG00000175206.10,-,11845709,11846011
chr1,ENSG00000120937.8,-,11857464,11857657
chr1,ENSG00000116685.15,-,11919591,11920317
chr1,ENSG00000116685.15,-,11922175,11922521
chr1,ENSG00000083444.16,+,11974806,11975537
chr1,ENSG00000116688.16,+,11989165,11989168
chr1,ENSG00000116688.16,+,12011563,12013514
chr1,ENSG00000116691.10,+,12031806,12032045
chr1,ENSG00000120949.14,+,12104379,12104531
chr1,ENSG00000120949.14,+,12109566,12109656
chr1,ENSG00000120949.14,+,12110041,12110204
chr1,ENSG00000120949.14,+,12111898,12112014
chr1,ENSG00000120949.14,+,12115577,12115729
chr1,ENSG00000120949.14,+,12123284,12123377
chr1,ENSG00000120949.14,+,12123715,12123827
chr1,ENSG00000120949.14,+,12125951,12126052
chr1,ENSG00000120949.14,+,12126183,12126236
chr1,ENSG00000120949.14,+,12135588,12135613
chr1,ENSG00000120949.14,+,12138229,12138436
chr1,ENSG00000120949.14,+,12142287,12144207
chr1,ENSG00000028137.16,+,12192356,12192358
chr1,ENSG00000028137.16,+,12207018,12209228
chr1,ENSG00000048707.13,+,12402585,12402702
chr1,ENSG00000048707.13,+,12403825,12403948
chr1,ENSG00000048707.13,+,12497500,12497631
chr1,ENSG00000048707.13,+,12506853,12507090
chr1,ENSG00000048707.13,+,12509022,12512047
chr1,ENSG00000162496.8,-,12567910,12568342
chr1,ENSG00000162496.8,-,12580607,12580666
chr1,ENSG00000204518.2,+,12666733,12667086
chr1,ENSG00000188984.11,+,12725994,12728400
chr1,ENSG00000157330.9,+,12760949,12763699
chr1,ENSG00000116726.4,+,12777597,12777906
chr1,ENSG00000116721.9,+,12795994,12796628
chr1,ENSG00000239810.3,-,12824605,12824944
chr1,ENSG00000179172.8,-,12847377,12847410
chr1,ENSG00000179172.8,-,12848290,12848470
chr1,ENSG00000120952.4,+,12861777,12861909
chr1,ENSG00000243073.3,-,12879224,12879546
chr1,ENSG00000187545.5,-,12892896,12892918
chr1,ENSG00000204510.5,+,12920411,12920482
chr1,ENSG00000232423.5,-,12938472,12938677
chr1,ENSG00000232423.5,-,12942519,12942540
chr1,ENSG00000274764.5,-,13049476,13049810
chr1,ENSG00000277058.2,+,13062204,13062229
chr1,ENSG00000229571.6,+,13073678,13073693
chr1,ENSG00000229571.6,+,13073696,13073699
chr1,ENSG00000229571.6,+,13077550,13077884
chr1,ENSG00000275774.2,-,13115496,13115521
chr1,ENSG00000280267.3,-,13148905,13149239
chr1,ENSG00000179412.10,-,13164586,13164588
chr1,ENSG00000204505.4,+,13179130,13179464
chr1,ENSG00000279804.1,-,13222695,13223334
chr1,ENSG00000270601.4,+,13259247,13259268
chr1,ENSG00000270601.4,+,13263109,13263314
chr1,ENSG00000182330.10,-,13281035,13281373
chr1,ENSG00000204501.6,+,13318410,13318413
chr1,ENSG00000204501.6,+,13322262,13322598
chr1,ENSG00000204481.7,-,13342366,13342530
chr1,ENSG00000204480.7,-,13369067,13369069
chr1,ENSG00000204479.4,+,13392500,13392629
chr1,ENSG00000204478.9,+,13416351,13416354
chr1,ENSG00000204478.9,+,13421256,13421328
chr1,ENSG00000162494.5,-,13474977,13475848
chr1,ENSG00000162493.16,+,13595838,13595984
chr1,ENSG00000162493.16,+,13607173,13607231
chr1,ENSG00000162493.16,+,13614315,13614405
chr1,ENSG00000162493.16,+,13614413,13614514
chr1,ENSG00000162493.16,+,13615905,13617957
chr1,ENSG00000116731.22,+,13769039,13769173
chr1,ENSG00000116731.22,+,13773078,13773188
